,ngram,count,sentence_index,sentences
8,"('john', 'mccain')",15,"{(1, 28), (1, 47), (1, 137), (1, 150), (1, 130), (1, 46), (1, 88), (1, 72), (1, 155), (1, 129), (1, 158), (1, 126), (1, 26), (1, 93), (1, 128)}","{'I love this country, and so do you, and so does John McCain.', ""And today, as my call for a time frame to remove our troops from Iraq has been echoed by the Iraqi government and even the Bush Administration, even after we learned that Iraq has a $79 billion surplus while we're wallowing in deficits, John McCain stands alone in his stubborn refusal to end a misguided war."", ""It's because John McCain doesn't get it."", ""I don't know what kind of lives John McCain thinks that celebrities lead, but this has been mine."", ""But the record's clear: John McCain has voted with George Bush ninety percent of the time."", ""It's not because John McCain doesn't care."", ""If John McCain wants to have a debate about who has the temperament, and judgment, to serve as the next Commander-in-Chief, that's a debate I'm ready to have."", 'And in the weeks ahead, I look forward to debating them with John McCain.', 'The Republican nominee, John McCain, has worn the uniform of our country with bravery and distinction, and for that we owe him our gratitude and respect.', ""So I've got news for you, John McCain."", 'Unlike John McCain, I will stop giving tax breaks to corporations that ship jobs overseas, and I will start giving them to companies that create good jobs right here in America.', ""John McCain likes to say that he'll follow bin Laden to the Gates of Hell - but he won't even go to the cave where he lives."", ""Washington's been talking about our oil addiction for the last thirty years, and John McCain has been there for twenty-six of them."", 'If John McCain wants to follow George Bush with more tough talk and bad strategy, that is his choice - but it is not the change we need.', 'When John McCain said we could just ""muddle through"" in Afghanistan, I argued for more resources and more troops to finish the fight against the terrorists who actually attacked us on 9/11, and made clear that we must take out Osama bin Laden and his lieutenants if we have them in our sights.'}"
0,"('let', 'us')",9,"{(0, 132), (0, 71), (0, 106), (0, 70), (0, 115), (0, 105), (0, 95), (0, 69), (0, 72)}","{'So let us begin.', 'But let us also understand that ultimate victory against our enemies will come only by rebuilding our alliances and exporting those ideals that bring hope and opportunity to millions around the globe.', 'Together, starting today, let us finish the work that needs to be done, and usher in a new birth of freedom on this Earth.', 'Let us honor their valor by providing the care they need and rebuilding the military they love.', 'Let us transform this nation.', 'Let us be the generation that reshapes our economy to compete in the digital age.', ""It will take your time, your energy, and your advice - to push us forward when we're doing right, and to let us know when we're not."", 'Let us begin this hard work together.', 'Let us be the generation that begins this work.'}"
28,"('health', 'care')",9,"{(2, 88), (2, 4), (2, 91), (2, 52), (2, 74), (2, 119), (2, 118), (2, 56), (2, 120)}","{""That we're better off if we dismantle it - if we divvy it up into individual tax breaks, hand 'em out, and encourage everyone to go buy your own health care, your own retirement security, your own child care, their own schools, your own private security force, your own roads, their own levees..."", 'Let it be said that we are the party of affordable, accessible health care for all Americans.', 'No more can we count on employers to provide health care and pensions and job training when their bottom-lines know no borders.', ""I've had enough of being told that we can't afford body armor for our troops and health care for our veterans and benefits for the wounded heroes who've risked their lives for this country."", ""The party that won't make Americans choose between a health care plan that bankrupts the government and one that bankrupts families."", ""Whether it's the war or Katrina or their health care or their jobs, you hear people say that we've finally arrived at a moment where something must change."", ""It allows us to say to those whose health care or tuition may rise faster than they can afford - life isn't fair."", ""The party that won't just throw a few tax breaks at families who can't afford their insurance, but modernizes our health care system and gives every family a chance to buy insurance at a price they can afford."", ""We've seen the cost of health care and child care and gasoline skyrocket.""}"
71,"('threat', 'reduction')",8,"{(5, 15), (5, 37), (5, 66), (5, 78), (5, 23), (5, 77), (5, 48), (5, 2)}","{'I want to turn to a second critical area: biological weapons threat reduction programs.', 'We must safeguard these dangerous weapons, material, and expertise. .\nOne way we could strengthen this relationship is by thinking about the Russians as more of a partner and less of a subordinate in the Cooperative Threat Reduction effort.', 'And the Kiev story is heading in the right direction - while we were in Ukraine, Dick, through his tireless and personal intervention, was able to achieve a breakthrough with that government, bringing that facility and others under the Cooperative Threat Reduction program.', 'We also need to ensure that the Cooperative Threat Reduction umbrella agreement, due to expire in 2006, is renewed in a timely manner.', 'And we need to work together to obtain a bilateral agreement on biological threat reduction.', 'Fortunately, the success of Cooperative Threat Reduction - especially in securing nuclear weapons - serves as a model of how we can do this.', ""Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War."", 'Now, few people understand these challenges better than the co-founder of the Cooperative Threat Reduction Program, Dick Lugar, and this is something that became particularly clear to me during one incident on the trip.'}"
72,"('soviet', 'union')",8,"{(5, 15), (5, 82), (5, 62), (5, 64), (5, 25), (5, 38), (5, 22), (5, 47)}","{""Additionally, in the last few years, we've seen some disturbing trends from Russia itself - the deterioration of democracy and the rule of law, the abuses that have taken place in Chechnya, Russian meddling in the former Soviet Union - that raise serious questions about our relationship."", 'But, when I think about what is at stake I am reminded by a quote from the late President Kennedy given in a speech at American University in 1963 about threats posed by the Soviet Union.', 'Right now, there are forces within the former Soviet Union and elsewhere that want these non-proliferation programs to stop.', 'With the situation in Russia and the rest of the former Soviet Union so drastically different than it was in 1991, or even in 1996 or 2001, what must we do to effectively confront this threat in the days and years to come?', 'For years, Nunn-Lugar programs have been effectively upgrading security at sites in six countries across the former Soviet Union.', 'Throughout the Cold War, the Soviet Union was engaged in a massive undertaking in the field of germ warfare.', ""Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War."", 'And that is why the nuclear, chemical, and biological weapons within the borders of the former Soviet Union represent the greatest threat to the security of the United States - a threat we need to think seriously and intelligently about in the months to come.'}"
45,"('iraqi', 'government')",7,"{(4, 125), (4, 112), (4, 89), (4, 124), (4, 98), (4, 123)}","{'The first part of this strategy begins by exerting the greatest leverage we have on the Iraqi government ?', 'But only if U.S. commanders think such a force would be effective; if there is substantial movement towards a political solution among Iraqi factions; if the Iraqi government showed a serious commitment to disbanding the militias; and if the Iraqi government asked us ?', 'When possible, this should be done in consultation with the Iraqi government ?', 'Of course, in order to convince the various factions to embark on the admittedly difficult task of disarming their militias, the Iraqi government must also make headway on reforming the institutions that support the military and the police.', 'We can teach the soldiers to fight and police to patrol, but if the Iraqi government will not properly feed, adequately pay, or provide them with the equipment they need, they will continue to desert in large numbers, or maintain fealty only to their religious group rather than the national government.', 'In the absence of a genuine commitment on the part of all of the factions in Iraq to deal with this issue, it is doubtful that a unified Iraqi government can function for long, and it is doubtful that U.S. forces, no matter how large, can prevent an escalation of widespread sectarian killing.'}"
73,"('former', 'soviet')",7,"{(5, 15), (5, 62), (5, 19), (5, 25), (5, 64), (5, 22), (5, 47)}","{""Additionally, in the last few years, we've seen some disturbing trends from Russia itself - the deterioration of democracy and the rule of law, the abuses that have taken place in Chechnya, Russian meddling in the former Soviet Union - that raise serious questions about our relationship."", 'Right now, there are forces within the former Soviet Union and elsewhere that want these non-proliferation programs to stop.', 'With the situation in Russia and the rest of the former Soviet Union so drastically different than it was in 1991, or even in 1996 or 2001, what must we do to effectively confront this threat in the days and years to come?', 'For years, Nunn-Lugar programs have been effectively upgrading security at sites in six countries across the former Soviet Union.', ""Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War."", 'And that is why the nuclear, chemical, and biological weapons within the borders of the former Soviet Union represent the greatest threat to the security of the United States - a threat we need to think seriously and intelligently about in the months to come.', ""We've heard the horror stories - attempts by rogue states to recruit former Soviet weapons scientists; terrorists shopping for weapons grade materials on the black market.""}"
1,"('let', 'generation')",7,"{(0, 91), (0, 90), (0, 80), (0, 83), (0, 86), (0, 76), (0, 85)}","{""Let's be the generation that finally frees America from the tyranny of oil."", ""Let's be the generation that ends poverty in America."", ""And as our economy changes, let's be the generation that ensures our nation's workers are sharing in our prosperity."", ""Let's be the generation that says right here, right now, that we will have universal health care in America by the end of the next president's first term."", ""Let's be the generation that makes future generations proud of what we did here."", ""Most of all, let's be the generation that never forgets what happened on that September day and confront the terrorists with everything we've got."", ""Let's be the generation that finally tackles our health care crisis.""}"
76,"('former', 'soviet', 'union')",6,"{(5, 15), (5, 62), (5, 64), (5, 25), (5, 22), (5, 47)}","{""Additionally, in the last few years, we've seen some disturbing trends from Russia itself - the deterioration of democracy and the rule of law, the abuses that have taken place in Chechnya, Russian meddling in the former Soviet Union - that raise serious questions about our relationship."", 'Right now, there are forces within the former Soviet Union and elsewhere that want these non-proliferation programs to stop.', 'With the situation in Russia and the rest of the former Soviet Union so drastically different than it was in 1991, or even in 1996 or 2001, what must we do to effectively confront this threat in the days and years to come?', 'For years, Nunn-Lugar programs have been effectively upgrading security at sites in six countries across the former Soviet Union.', ""Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War."", 'And that is why the nuclear, chemical, and biological weapons within the borders of the former Soviet Union represent the greatest threat to the security of the United States - a threat we need to think seriously and intelligently about in the months to come.'}"
74,"('cooperative', 'threat')",6,"{(5, 15), (5, 66), (5, 23), (5, 77), (5, 48), (5, 2)}","{'We must safeguard these dangerous weapons, material, and expertise. .\nOne way we could strengthen this relationship is by thinking about the Russians as more of a partner and less of a subordinate in the Cooperative Threat Reduction effort.', 'And the Kiev story is heading in the right direction - while we were in Ukraine, Dick, through his tireless and personal intervention, was able to achieve a breakthrough with that government, bringing that facility and others under the Cooperative Threat Reduction program.', 'We also need to ensure that the Cooperative Threat Reduction umbrella agreement, due to expire in 2006, is renewed in a timely manner.', 'Fortunately, the success of Cooperative Threat Reduction - especially in securing nuclear weapons - serves as a model of how we can do this.', ""Of course, Dick has been there and he has done that, and thanks to the Cooperative Threat Reduction Programs he co-founded with Senator Sam Nunn, we've made amazing progress in finding, securing, and guarding some of the deadliest weapons that were left scattered throughout the former Soviet Union after the Cold War."", 'Now, few people understand these challenges better than the co-founder of the Cooperative Threat Reduction Program, Dick Lugar, and this is something that became particularly clear to me during one incident on the trip.'}"
